ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
363;;P2S5;;2.03;222.2676;;;;;40;0;
365;;KBrO3;;3.27;167.0092;;;;;26;0;
367;;K2CO3;;2.43;138.21335;;;;;24;0;
369;;KCl;;1.98;74.555;;;;;8;7.4;
371;;KCN;;1.52;65.11985;;;;;10;0;
373;;KH2PO4;;2.34;136.08934;;;;;32;0;
375;;KHSO4;;2.2;136.17157;;;;;32;0;
362;;POCl3;;1.67;153.3322;;;;;32;0;
364;;H3PO4;;1.84;97.99531;;;;;32;0;
366;;KBr;;2.75;119.011;;;;;8;0;
368;;KClO3;;2.32;122.5532;;;;;26;0;
370;;K2CrO4;;2.73;194.1976;;;;;32;0;
372;;K2Cr2O7;;2.69;294.1918;;;;;56;0;
374;;KF;;2.48;58.1004;;;;;8;0;
376;;KOH;;2.04;56.10937;;;;;8;0;
377;;KIO3;;3.89;214.0042;;;;;26;0;
379;;K2S2O5;;2.3;222.329;;;;;44;0;
381;;KNO2;;1.92;85.1075;;;;;18;0;
383;;K2SO4;;2.67;174.2656;;;;;32;0;
385;;PrCl3;;4.02;247.266;;;;;30;0;
387;;ReF6;;6.16;300.1904;;;;;49;0;
389;;RbCl;;2.76;120.923;;;;;8;0;
391;;RbNO3;;3.11;147.4749;;;;;24;0;
378;;KI;;3.12;166.006;;;;;8;0;
380;;KNO3;;2.11;101.1069;;;;;24;0;
382;;KMnO4;;2.7;158.0376;;;;;32;0;
384;;KCNS;;1.89;97.18385;;;;;16;0;
386;;RaBr2;;5.79;385.818;;;;;16;0;
388;;Re2O7;;8.2;484.3958;;;;;49;0;
390;;RbF;;2.88;104.4684;;;;;8;0;
392;;Rb2SO4;;3.61;267.0016;;;;;32;0;
393;;RuO2;;6.97;133.0688;;;;;20;0;
395;;ScCl3;;2.39;151.315;;;;;24;0;
396;;SeCl4;;3.8;220.772;;;;;34;0;
398;;SeOCl2;;2.42;165.8654;;;;;36;0;
400;;SiO2;;2.65;60.0848;;;;;16;0;
402;;AgCl;;5.56;143.323;;;;;18;3.2;
404;;AgF;;5.85;126.8684;;;;;18;0;
406;;AgNO3;;4.35;169.8749;;;;;34;0;
394;;RuO4;;3.29;165.0676;;;;;32;0;
397;;SeO2;;3.95;110.9588;;;;;18;0;
399;;H2SeO4;;2.95;144.97354;;;;;32;0;
401;;AgBr;;6.47;187.779;;;;;18;0;
403;;AgCN;;3.94;133.88785;;;;;20;0;
405;;AgI;;5.85;234.774;;;;;18;2.63;
407;;Ag2O;;7.14;231.7394;;;;;28;0;
409;;NaC2H3O2;;1.53;82.03481;;;;;24;0;
408;;Ag2SO4;;5.45;311.8016;;;;;52;0;
410;;Na3AlF6;;2.9;209.9413;;;;;48;0;
412;;NaBr;;3.2;102.8988;;;;;8;0;
414;;NaCl;;2.17;58.4428;;;;;8;7.42;
416;;NaOH;;2.13;39.99717;;;;;8;0;
418;;NaNO3;;2.26;84.9947;;;;;24;0;
420;;Na2S;;1.86;78.0436;;;;;8;0;
422;;SrBr2;;4.22;247.438;;;;;16;0;
411;;Na2B4O7;;1.45;201.2194;;;;;56;0;
413;;Na2CO3;;2.51;105.98895;;;;;24;0;
415;;NaF;;2.79;41.9882;;;;;8;0;
417;;NaI;;3.67;149.8938;;;;;8;0;
419;;Na2SO4;;2.69;142.0412;;;;;32;0;
421;;Na2WO4;;4.18;293.8272;;;;;32;0;
423;;SrCO3;;3.7;147.62935;;;;;24;0;
425;;SrF2;;4.24;125.6168;;;;;16;0;
424;;SrCl2;;3.05;158.526;;;;;16;0;
426;;Sr(NO3)2;;2.99;211.6298;;;;;48;0;
428;;H2SO4;;1.83;98.07754;;;;;32;0;
430;;Ta2O5;;8.74;441.893;;;;;40;0;
432;;TeCl4;;3.26;269.412;;;;;34;0;
434;;TlCl;;7;239.823;;;;;12;0;
436;;Tl2SO4;;6.77;504.8016;;;;;36;0;
438;;ThO2;;10.03;264.0368;;;;;16;0;
427;;SO3;;1.92;80.0622;;;;;24;0;
429;;TaCl5;;3.68;358.213;;;;;40;0;
431;;TeBr4;;4.31;447.236;;;;;34;0;
433;;TeO2;;5.78;159.5988;;;;;18;0;
435;;TlNO3;;5.56;266.3749;;;;;26;0;
437;;ThCl4;;4.59;373.85;;;;;32;0;
439;;SnCl2;;3.95;189.596;;;;;18;0;
441;;TiO2;;4.26;79.8988;;;;;16;0;
440;;SnS;;5.08;150.754;;;;;10;0;
442;;WC;;15.65;195.86115;;;;;10;0;
444;;WO3;;7.16;231.8482;;;;;24;0;
446;;UO2;;10.97;270.0288;;;;;15;0;
448;;XeF2;;4.32;169.2968;;;;;22;0;
450;;Y2O3;;5.01;225.8082;;;;;24;0;
452;;ZnO;;5.47;81.3694;;;;;18;3.2;
454;;ZrO2;;5.7;123.2188;;;;;16;0;
443;;WCl4;;3.52;325.662;;;;;34;0;
445;;UF6;;4.68;352.0204;;;;;45;0;
447;;V2O5;;3.36;181.881;;;;;40;0;
449;;XeF4;;4.07;207.2936;;;;;36;0;
451;;ZnCl2;;2.91;136.276;;;;;26;0;
453;;ZrCl4;;2.8;233.032;;;;;32;0;
567;;Si3N4;;3.17;140.284;;;;;32;5.25;
568;;GaAs;;5.31;144.642;;;;;8;1.35;
569;;GaP;;4.13;100.6938;;;;;8;2.24;
571;;InP;;4.79;145.7938;;;;;8;1.27;
573;;PbTe;;8.16;334.79;;;;;10;0.25;
575;;26-n-paraffin C26H54;;0.99;377.72028;;;;;158;6;
577;;beta-Carotene C40H56;;0.993;536.89232;;;;;216;0;
570;;InAs;;5.67;189.743;;;;;8;0.36;
572;;InSb;;5.78;236.57;;;;;8;0.17;
574;;ZnS;;4.08;97.434;;;;;18;3.6;
576;;adenine C5N5H5;;1.35;135.1291;;;;;50;3.8;
578;;Guanine C5N5H5O;;1.58;151.1285;;;;;56;2.5;
